chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,rms,zero_crossing_rate,target
0.34249502,3023.8642275166244,2338.1356785975468,6143.345424107143,0.13273375,0.26811436244419645,ng
0.49541333,1769.5699354805981,1775.1117809613577,3525.301846590909,0.052573718,0.12754128196022727,ng
0.3702634,1816.3171274111662,1493.0419454775229,2950.2640845070423,0.14150394,0.13442176496478872,ng
0.22525632,1173.9995595735122,1103.517664432236,1604.1277985074628,0.08176425,0.11909689832089553,ng
0.5328128,1995.5267878074385,1954.100605802843,4222.800925925926,0.032516114,0.15230758101851852,ng
0.59066784,1670.2425147230833,1861.6266886862056,3439.598880597015,0.02192426,0.10130013992537314,ng
0.60665786,1493.9482690373275,1799.1506177192043,3159.2435747663553,0.052835807,0.10692903037383178,ng
0.25953355,1893.7465577998153,1482.9233429519638,2897.7726063829787,0.11606376,0.15819273603723405,ng
0.6508408,2447.6820132071684,2112.920588232403,5079.527243589743,0.022237442,0.19484925881410256,ng
0.25732452,2111.6024875653757,1370.3231288057461,3084.8214285714284,0.35641885,0.18257843501984128,ng
0.49709886,1737.2395830835062,1907.0986568094886,3922.75390625,0.050665427,0.11641845703125,ng
0.22394167,2369.827779853623,1413.0472577833432,4232.421875,0.270089,0.193499755859375,ng
0.18093805,1154.5800152263653,1668.1255144361442,2230.401011560694,0.026808154,0.04593795158959538,ng
0.531436,2026.5393876526027,2242.8357666261927,4819.878472222223,0.04843258,0.09838189019097222,ng
0.2340083,1796.2831213918737,1806.4574874492628,3577.4109543010754,0.09586449,0.11618993615591398,ng
0.21622224,2395.0718603954338,2456.9774619250456,5819.282280219781,0.090995476,0.17391665951236263,ng
0.31763992,1523.0924392688914,1603.426699322411,2758.6156542056074,0.105323054,0.10198689398364486,ng
0.47787923,3317.47880992087,2244.2944295543975,5932.611476608187,0.01996785,0.32616045321637427,ng
0.2175069,1298.1748953081144,1257.0824071048976,2251.152663934426,0.057340372,0.09966007086748634,ng
0.5434581,1931.9855810420763,1960.4857401460192,4191.964285714285,0.046656694,0.14250139508928572,ng
0.2977062,1854.6642932352638,1332.1413873029596,2651.2880067567567,0.2687489,0.16635214315878377,ng
0.5235821,2015.3793929803069,2056.0400651431214,4208.49609375,0.016431114,0.1177520751953125,ng
